PASCO,,FLIR
0,-0.0989,0,297.6265259
0.45,-0.0989,0.466,297.6265259
0.85,-0.099072,0.866,297.6400757
1.25,-0.099072,1.266,297.7011414
1.6,-0.098721,1.6,297.6943359
2.05,-0.098895,2.066,297.6740112
2.4,-0.0989,2.4,297.6197205
2.8,-0.099072,2.8,297.687561
3.15,-0.099246,3.133,297.6672363
3.55,-0.099246,3.533,297.5857849
3.85,-0.099244,3.866,297.5722351
4.35,-0.099072,4.333,297.6061707
4.75,-0.099074,4.733,297.5925903
5.15,-0.099072,5.133,297.5314941
5.55,-0.098549,5.533,297.5314941
6,-0.099244,6,297.4567566
6.35,-0.098726,6.333,297.4703369
6.75,-0.098898,6.733,297.4499512
7.05,-0.098898,7.066,297.504303
7.45,-0.09907,7.466,297.5314941
7.85,-0.09907,7.866,297.5722351
8.35,-0.099246,8.333,297.5450745
8.65,-0.099244,8.666,297.5111084
9,-0.099067,9,297.4907227
9.4,-0.099067,9.4,297.4499512
9.8,-0.099074,9.8,297.3479614
10.2,-0.0989,10.199,297.3615723
10.6,-0.098902,10.6,297.4635315
10.95,-0.099074,10.933,297.3615723
11.35,-0.0989,11.333,297.3275452
11.75,-0.0989,11.733,297.3139343
12.15,-0.0989,12.133,297.4091797
12.55,-0.099072,12.533,297.4295654
12.95,-0.099072,12.933,297.381958
13.25,-0.099072,13.266,297.3003235
13.65,-0.09907,13.666,297.2867126
14,-0.0989,14,297.2799072
14.4,-0.0989,14.4,297.252655
14.85,-0.099067,14.866,297.2662659
15.2,-0.099072,15.199,297.3343506
15.6,-0.099246,15.6,297.3683472
16,-0.099072,16,297.504303
16.4,-0.099246,16.4,297.5314941
16.8,-0.099074,16.8,297.5450745
17.2,-0.099074,17.199,297.4975281
17.6,-0.099072,17.6,297.5722351
18,-0.099072,18,297.5857849
18.35,-0.099246,18.333,297.6061707
18.8,-0.09907,18.8,297.4839172
19.15,-0.099244,19.133,297.4975281
19.55,-0.099242,19.533,297.5111084
19.85,-0.098898,19.866,297.5178833
20.25,-0.098898,20.266,297.5178833
20.65,-0.09907,20.666,297.5111084
21.05,-0.099072,21.066,297.5586548
21.45,-0.099244,21.466,297.4771423
21.85,-0.099246,21.866,297.4431458
22.25,-0.099246,22.266,297.4023743
22.75,-0.099072,22.733,297.4023743
23.05,-0.099072,23.066,297.3343506
23.45,-0.099072,23.466,297.3207397
23.85,-0.099072,23.866,297.3479614
24.25,-0.099072,24.266,297.4567566
24.65,-0.098898,24.666,298.0868835
25.15,-0.098902,25.133,299.5760193
25.55,-0.09873,25.533,301.2545166
26,-0.098384,26,302.4801941
26.4,-0.098384,26.4,303.473999
26.8,-0.098212,26.8,303.4033203
27.2,-0.098038,27.199,306.2586975
27.6,-0.09804,27.6,306.7337952
28,-0.097691,28,307.001709
28.35,-0.097522,28.333,307.9251709
28.8,-0.097698,28.8,308.632782
29.15,-0.09804,29.133,307.9375
29.55,-0.097868,29.533,308.724762
29.95,-0.097868,29.933,309.0675049
30.35,-0.098735,30.333,308.5591736
30.75,-0.099593,30.733,309.0124817
31.2,-0.097522,31.199,309.8773804
31.6,-0.097861,31.6,309.1530151
32,-0.098898,32,309.8409729
32.4,-0.108641,32.4,310.7298279
32.75,-0.09787,32.733,308.73703
33.15,-0.098738,33.133,309.0063782
33.6,-0.099774,33.6,308.1040344
33.95,-0.097701,33.933,309.6830444
34.4,-0.098214,34.4,309.1224976
34.75,-0.097691,34.733,311.7433777
35.15,-0.097352,35.133,312.8192139
35.55,-0.097524,35.533,311.0666504
35.95,-0.09804,35.933,311.8806458
36.35,-0.097696,36.333,310.3074341
36.75,-0.09787,36.733,310.6454773
37.15,-0.097347,37.133,309.8409729
37.55,-0.097354,37.533,313.1618958
37.85,-0.097694,37.866,310.331604
38.35,-0.098045,38.333,310.7840271
38.65,-0.097524,38.666,311.5820313
39.05,-0.097175,39.066,311.2946777
39.45,-0.097008,39.466,315.9606323
39.85,-0.096836,39.866,316.2657166
40.25,-0.097006,40.266,317.989563
40.75,-0.097008,40.733,317.0107422
41.2,-0.097008,41.199,319.6615906
